iter	Passed	Remaining
1402	5231	32059
1403	5235	32051
1404	5238	32045
1405	5241	32039
1406	5245	32033
1407	5248	32028
1408	5252	32023
1409	5255	32017
1410	5258	32012
1411	5262	32006
1412	5266	32002
1413	5269	31996
1414	5273	31992
1415	5276	31987
1416	5280	31987
1417	5284	31980
1418	5287	31976
1419	5291	31971
1420	5295	31971
1421	5299	31968
1422	5302	31962
1423	5306	31960
1424	5310	31955
1425	5313	31947
1426	5317	31943
1427	5320	31935
1428	5323	31931
1429	5327	31928
1430	5330	31918
1431	5334	31918
1432	5337	31912
1433	5341	31908
1434	5344	31898
1435	5348	31900
1436	5352	31893
1437	5355	31888
1438	5359	31886
1439	5363	31881
1440	5366	31874
1441	5371	31878
1442	5374	31869
1443	5378	31868
1444	5381	31863
1445	5385	31860
1446	5389	31854
1447	5394	31859
1448	5397	31853
1449	5401	31847
1450	5403	31837
1451	5408	31840
1452	5413	31841
1453	5416	31836
1454	5420	31834
1455	5424	31833
1456	5428	31832
1457	5432	31827
1458	5436	31825
1459	5440	31824
1460	5444	31822
1461	5448	31818
1462	5453	31819
1463	5456	31815
1464	5460	31815
1465	5464	31811
1466	5468	31807
1467	5472	31806
1468	5476	31806
1469	5480	31801
1470	5484	31798
1471	5487	31793
1472	5492	31796
1473	5495	31786
1474	5499	31787
1475	5503	31784
1476	5508	31788
1477	5513	31789
1478	5516	31783
1479	5521	31784
1480	5524	31776
1481	5528	31778
1482	5532	31770
1483	5537	31778
1484	5542	31778
1485	5545	31772
1486	5550	31773
1487	5553	31770
1488	5557	31765
1489	5562	31768
1490	5566	31765
1491	5570	31765
1492	5573	31760
1493	5577	31757
1494	5582	31756
1495	5585	31752
1496	5589	31745
1497	5593	31746
1498	5596	31740
1499	5601	31742
1500	5605	31737
1501	5608	31729
1502	5612	31728
1503	5615	31724
1504	5619	31721
1505	5623	31716
1506	5626	31708
1507	5630	31706
1508	5634	31706
1509	5638	31701
1510	5641	31695
1511	5645	31693
1512	5649	31690
1513	5652	31684
1514	5656	31679
1515	5658	31667
1516	5663	31668
1517	5666	31664
1518	5670	31658
1519	5673	31651
1520	5677	31648
1521	5681	31644
1522	5685	31645
1523	5689	31640
1524	5692	31637
1525	5696	31634
1526	5700	31631
1527	5703	31625
1528	5707	31621
1529	5711	31617
1530	5714	31609
1531	5716	31600
1532	5721	31600
1533	5724	31593
1534	5727	31587
1535	5731	31581
1536	5735	31579
1537	5738	31574
1538	5743	31574
1539	5746	31569
1540	5750	31565
1541	5754	31566
1542	5758	31561
1543	5762	31559
1544	5765	31552
1545	5770	31552
1546	5773	31547
1547	5777	31546
1548	5780	31537
1549	5784	31536
1550	5788	31531
1551	5792	31531
1552	5796	31527
1553	5800	31526
1554	5805	31527
1555	5809	31525
1556	5813	31525
1557	5817	31522
1558	5821	31518
1559	5824	31514
1560	5828	31509
1561	5831	31503
1562	5834	31496
1563	5838	31493
1564	5842	31490
1565	5846	31486
1566	5850	31486
1567	5853	31476
1568	5857	31474
1569	5860	31468
1570	5864	31463
1571	5867	31457
1572	5871	31455
1573	5875	31451
1574	5879	31449
1575	5883	31447
1576	5886	31440
1577	5890	31438
1578	5893	31431
1579	5896	31422
1580	5901	31425
1581	5904	31420
1582	5908	31415
1583	5912	31412
1584	5915	31406
1585	5919	31404
1586	5922	31398
1587	5926	31394
1588	5930	31391
1589	5933	31386
1590	5937	31383
1591	5941	31381
1592	5944	31374
1593	5949	31373
1594	5952	31364
1595	5956	31364
1596	5959	31358
1597	5962	31351
1598	5966	31349
1599	5971	31348
1600	5974	31342
1601	5978	31340
1602	5981	31334
1603	5986	31334
1604	5989	31329
1605	5993	31325
1606	5996	31319
1607	6000	31315
1608	6004	31311
1609	6007	31308
1610	6011	31302
1611	6015	31301
1612	6020	31302
1613	6023	31296
1614	6026	31288
1615	6030	31286
1616	6034	31283
1617	6037	31277
1618	6040	31269
1619	6044	31265
1620	6047	31259
1621	6051	31258
1622	6054	31249
1623	6058	31247
1624	6061	31240
1625	6064	31234
1626	6068	31232
1627	6080	31270
1628	6085	31271
1629	6089	31268
1630	6093	31264
1631	6096	31260
1632	6101	31259
1633	6104	31254
1634	6107	31248
1635	6111	31244
1636	6115	31242
1637	6119	31237
1638	6122	31234
1639	6126	31229
1640	6130	31228
1641	6134	31224
1642	6137	31217
1643	6141	31214
1644	6144	31207
1645	6148	31204
1646	6152	31201
1647	6155	31196
1648	6159	31192
1649	6164	31195
1650	6167	31186
1651	6171	31187
1652	6175	31183
1653	6179	31183
1654	6183	31179
1655	6187	31178
1656	6191	31173
1657	6195	31170
1658	6197	31160
1659	6202	31162
1660	6205	31156
1661	6209	31152
1662	6213	31148
1663	6216	31144
1664	6220	31140
1665	6224	31137
1666	6228	31132
1667	6232	31134
1668	6237	31134
1669	6242	31139
1670	6248	31143
1671	6251	31139
1672	6256	31142
1673	6260	31140
1674	6265	31138
1675	6268	31132
1676	6272	31128
1677	6275	31124
1678	6279	31122
1679	6283	31116
1680	6286	31112
1681	6290	31107
